run_id,tti_idx,frame,slot,epoch,sec_rel,phase,C,num_registered,num_active,tda_id,tda_symbols,total_rb,J_active,J,Var_J_active_100,Var_J_100,UE1_rnti_hex,UE2_rnti_hex,UE3_rnti_hex,UE1_ue_idx,UE1_rbStart,UE1_rbSize,UE1_rb_share,UE1_mcs,UE1_Qm,UE1_R,UE1_nLayers,UE1_tb_size,UE1_harq_pid,UE1_harq_round,UE1_wb_cqi,UE1_dl_bler_x1e3,UE1_ta_apply,UE1_ta_cmd,UE1_rlc_total_bytes,UE1_rlc_total_pdus,UE2_ue_idx,UE2_rbStart,UE2_rbSize,UE2_rb_share,UE2_mcs,UE2_Qm,UE2_R,UE2_nLayers,UE2_tb_size,UE2_harq_pid,UE2_harq_round,UE2_wb_cqi,UE2_dl_bler_x1e3,UE2_ta_apply,UE2_ta_cmd,UE2_rlc_total_bytes,UE2_rlc_total_pdus,UE3_ue_idx,UE3_rbStart,UE3_rbSize,UE3_rb_share,UE3_mcs,UE3_Qm,UE3_R,UE3_nLayers,UE3_tb_size,UE3_harq_pid,UE3_harq_round,UE3_wb_cqi,UE3_dl_bler_x1e3,UE3_ta_apply,UE3_ta_cmd,UE3_rlc_total_bytes,UE3_rlc_total_pdus
040933,16009,451,0,1761523880.9155,8.0045,baseline,106,3,2,0,13,60,1.0,0.6666666666666666,0.0024308342647548,0.0117395737929425,0x687E,0x4215,0x31A0,2.0,0.0,0,0.0,9.0,2.0,6790.0,1.0,123.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,30,0.2830188679245283,28.0,6.0,9480.0,1.0,3009.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,2964.0,0.0,1.0,30.0,30,0.2830188679245283,28.0,6.0,9480.0,1.0,3009.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,2964.0,0.0
040933,16010,451,1,1761523880.916,8.005,baseline,106,3,2,0,13,60,1.0,0.6666666666666666,0.0024308342647548,0.0117395737929425,0x687E,0x4215,0x31A0,2.0,0.0,0,0.0,9.0,2.0,6790.0,1.0,123.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,30,0.2830188679245283,28.0,6.0,9480.0,1.0,3009.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,2964.0,0.0,1.0,30.0,30,0.2830188679245283,28.0,6.0,9480.0,1.0,3009.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,2964.0,0.0
040933,16011,451,3,1761523880.9165,8.0055,baseline,106,3,2,0,13,60,1.0,0.6666666666666666,0.0024308342647548,0.0117395737929425,0x687E,0x4215,0x31A0,2.0,0.0,0,0.0,9.0,2.0,6790.0,1.0,123.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,30,0.2830188679245283,28.0,6.0,9480.0,1.0,3009.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,2964.0,0.0,1.0,30.0,30,0.2830188679245283,28.0,6.0,9480.0,1.0,3009.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,2964.0,0.0
040933,16012,451,4,1761523880.917,8.006,baseline,106,3,2,0,13,30,1.0,0.6666666666666666,0.0024308342647548,0.0117395737929425,0x687E,0x4215,0x31A0,2.0,0.0,0,0.0,9.0,2.0,6790.0,1.0,123.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,15,0.1415094339622641,28.0,6.0,9480.0,1.0,1505.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,1482.0,0.0,1.0,15.0,15,0.1415094339622641,28.0,6.0,9480.0,1.0,1505.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,1482.0,0.0
040933,16013,451,5,1761523880.9175,8.0065,baseline,106,3,2,0,13,30,1.0,0.6666666666666666,0.0024308342647548,0.0117395737929425,0x687E,0x4215,0x31A0,2.0,0.0,0,0.0,9.0,2.0,6790.0,1.0,123.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,15,0.1415094339622641,28.0,6.0,9480.0,1.0,1505.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,1482.0,0.0,1.0,15.0,15,0.1415094339622641,28.0,6.0,9480.0,1.0,1505.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,1482.0,0.0
040933,16014,451,7,1761523880.918,8.007,baseline,106,3,2,0,13,106,0.793951384963256,0.5293009233088374,0.0027681528294974,0.0117796005603641,0x687E,0x4215,0x31A0,2.0,0.0,0,0.0,9.0,2.0,6790.0,1.0,123.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,80,0.7547169811320755,28.0,6.0,9480.0,1.0,3009.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,2964.0,0.0,1.0,80.0,26,0.2452830188679245,28.0,6.0,9480.0,1.0,976.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,2964.0,0.0
040933,16015,451,10,1761523880.9185,8.0075,baseline,106,3,2,0,13,80,0.9411764705882356,0.627450980392157,0.0027762907322267,0.0117518448570019,0x687E,0x4215,0x31A0,2.0,0.0,0,0.0,9.0,2.0,6790.0,1.0,123.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,50.0,30,0.2830188679245283,28.0,6.0,9480.0,1.0,3009.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,2964.0,0.0,1.0,0.0,50,0.4716981132075472,28.0,6.0,9480.0,1.0,4992.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,4960.0,0.0
040933,16016,451,11,1761523880.919,8.008000000000001,baseline,106,3,2,0,13,30,1.0,0.6666666666666666,0.0027762907322267,0.0117518448570019,0x687E,0x4215,0x31A0,2.0,0.0,0,0.0,9.0,2.0,6790.0,1.0,123.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,15,0.1415094339622641,28.0,6.0,9480.0,1.0,1505.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,1482.0,0.0,1.0,15.0,15,0.1415094339622641,28.0,6.0,9480.0,1.0,1505.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,1482.0,0.0
040933,16017,451,12,1761523880.9195,8.0085,baseline,106,3,2,0,13,60,1.0,0.6666666666666666,0.0027762907322267,0.0117518448570019,0x687E,0x4215,0x31A0,2.0,0.0,0,0.0,9.0,2.0,6790.0,1.0,123.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,30,0.2830188679245283,28.0,6.0,9480.0,1.0,3009.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,2964.0,0.0,1.0,30.0,30,0.2830188679245283,28.0,6.0,9480.0,1.0,3009.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,2964.0,0.0
040933,16018,451,14,1761523880.92,8.009,baseline,106,3,2,0,13,30,1.0,0.6666666666666666,0.0027762907322267,0.0109975722571491,0x687E,0x4215,0x31A0,2.0,0.0,0,0.0,9.0,2.0,6790.0,1.0,123.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,15,0.1415094339622641,28.0,6.0,9480.0,1.0,1505.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,1482.0,0.0,1.0,15.0,15,0.1415094339622641,28.0,6.0,9480.0,1.0,1505.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,1482.0,0.0
